id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
29729	"taylor's university, malaysia"	0.8906	-0.1058	14	2	4	15	19	1.5094	2023.3333	1.2667	0.1006
29864	"tecnológico de monterrey, mexico"	-1.1282	-0.0872	11	1	1	10	203	15.3669	2018.9	20.3	1.5367
29905	"telfer school of management, university of ottawa, ottawa, canada"	-0.6039	-0.0836	3	3	5	9	89	9.8	2020.7778	9.8889	1.0889
29967	"texas tech university, lubbock, tx, united states"	0.154	0.0296	6	2	2	9	259	21.545	2018.5556	28.7778	2.3939
30341	"the university of texas at tyler, tyler, tx, united states"	-0.124	0.0784	5	2	4	7	100	12.2027	2019.8571	14.2857	1.7432
32038	"university of alberta, canada"	0.5785	-0.0112	4	8	9	5	292	21.8569	2019.6	58.4	4.3714
32040	"university of alberta, edmonton, ab, canada"	0.0482	0.0567	6	10	11	11	737	51.7202	2017.8182	67	4.7018
32159	"university of bergamo, bergamo, italy"	-0.4721	-0.0918	2	4	6	8	319	19.7093	2019.625	39.875	2.4637
32161	"university of bergamo, italy"	0.9676	-0.0085	13	5	5	9	539	31.5491	2016.8889	59.8889	3.5055
32181	"university of bologna, italy"	0.9362	-0.0265	1	4	4	6	117	37.5494	2021.8333	19.5	6.2582
32239	"university of calgary, canada"	0.8209	-0.0131	4	6	7	5	234	17.7821	2018.8	46.8	3.5564
32330	"university of central florida, orlando, fl, united states"	-0.302	-0.0658	8	6	7	6	180	19.9394	2020.1667	30	3.3232
32484	"university of edinburgh, edinburgh, united kingdom"	-0.6627	-0.1001	3	3	3	5	77	5.4783	2018.8	15.4	1.0957
32569	"university of georgia, united states"	0.8612	-0.0103	4	2	2	5	29	4.3136	2018.2	5.8	0.8627
32635	"university of hong kong, hong kong"	-0.1712	-0.0758	8	7	8	8	149	13.6595	2017.625	18.625	1.7074
32797	"university of liechtenstein, liechtenstein"	1.0545	-0.0219	1	1	1	5	315	20.7489	2018.6	63	4.1498
33131	"university of north carolina at greensboro, united states"	0.6724	-0.0105	4	2	2	5	72	7.2877	2020.4	14.4	1.4575
33154	"university of north texas, denton, tx, united states"	0.1256	0.028	6	3	3	6	298	30.2575	2019.6667	49.6667	5.0429
33203	"university of ottawa, ottawa, on, canada"	-0.3217	-0.0399	8	6	8	11	563	44.4746	2020.4545	51.1818	4.0431
33213	"university of oxford, oxford, united kingdom"	-0.6429	-0.0983	3	2	2	6	40	8.4916	2022	6.6667	1.4153
33224	"university of palermo, palermo, italy"	-0.1725	-0.0824	8	8	9	6	142	18.2293	2022	23.6667	3.0382
33280	"university of pittsburgh, united states"	1.4874	-0.0261	9	1	1	5	175	7.7248	2019.4	35	1.545
33518	"university of st. gallen, switzerland"	1.0014	-0.0304	1	5	5	5	316	20.1679	2018.8	63.2	4.0336
33566	"university of tartu, tartu, estonia"	-0.5187	-0.0561	2	1	2	11	230	23.7746	2019.7273	20.9091	2.1613
33700	"university of toronto, canada"	1.482	-0.0261	9	2	2	6	227	35.5941	2018.1667	37.8333	5.9323
33771	"university of vermont, burlington, vt, united states"	0.1954	0.0309	6	5	5	5	150	10.0062	2018.4	30	2.0012
33816	"university of warwick, united kingdom"	1.0531	-0.0333	1	1	1	6	63	4.6368	2019	10.5	0.7728
34255	"utah state university, logan, ut, united states"	-1.1282	-0.087	11	1	1	5	43	7.5775	2021.4	8.6	1.5155
34869	"witten institute for family business, witten/herdecke university, witten, germany"	-1.0483	-0.1865	7	1	1	22	538	45.997	2021.2727	24.4545	2.0908
34919	"worcester polytechnic institute, united states"	0.977	-0.0074	13	1	1	5	79	7.5533	2019	15.8	1.5107
35183	"zhejiang university city college, hangzhou, zhejiang, china"	-0.6413	1.6384	12	3	27	14	38	3.1405	2020.8571	2.7143	0.2243
35187	"zhejiang university, china"	0.7629	-0.0184	1	18	32	14	773	92.3319	2020.2857	55.2143	6.5951
35192	"zhejiang university, hangzhou, china"	-0.3423	-0.0758	2	12	19	9	323	32.5204	2021	35.8889	3.6134
35193	"zhejiang university, hangzhou, zhejiang, china"	-0.6027	1.578	12	3	27	14	95	5.976	2020.7857	6.7857	0.4269
