id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
175	liechtenstein	0.5253	0.9552	9	104	41890	16	677	41.1883	2018.5	42.3125	2.5743
178	lithuania	-0.0375	-0.6503	1	108	19882	49	449	49.5458	2019.9796	9.1633	1.0111
181	luxembourg	0.8648	0.3	3	104	17739	17	370	36.3899	2020.1176	21.7647	2.1406
182	macao	-0.5358	-0.6395	1	88	2888	22	313	69.0128	2020.5455	14.2273	3.1369
185	malawi	-1.0677	0.1643	2	42	411	9	32	2.9603	2019.8889	3.5556	0.3289
186	malaysia	-0.115	0.2161	3	117	263906	526	5552	557.2183	2020.3973	10.5551	1.0594
189	malta	0.0449	-0.7106	7	102	8266	10	155	16.6605	2020.3	15.5	1.666
193	mauritius	-0.5215	-0.0096	2	91	1259	12	101	5.9726	2019.0833	8.4167	0.4977
195	mexico	0.8992	-0.1124	4	116	223315	286	2057	213.1518	2020.0035	7.1923	0.7453
198	monaco	0.3201	0.982	6	109	30935	7	28	24.0711	2022.7143	4	3.4387
200	montenegro	0.0363	-0.55	1	76	1328	13	132	10.1352	2019.5385	10.1538	0.7796
201	morocco	0.4383	0.2318	5	113	50476	89	826	88.4872	2020.8652	9.2809	0.9942
203	myanmar	-0.2705	-1.2364	7	43	253	11	65	5.4955	2020.3636	5.9091	0.4996
206	nepal	-1.308	-0.0496	2	73	1775	23	125	10.521	2019.6522	5.4348	0.4574
207	netherlands	-0.5427	0.2103	2	118	228480	294	5992	576.1016	2020.0442	20.381	1.9595
209	new zealand	-0.4195	0.5164	2	116	71999	154	2145	186.1295	2019.4221	13.9286	1.2086
212	nigeria	-0.6348	0.0731	2	114	32245	158	803	72.4061	2020.3101	5.0823	0.4583
214	north macedonia	-0.1489	0.0409	1	108	41724	55	1113	94.8373	2019.7273	20.2364	1.7243
216	norway	0.0342	0.0016	1	116	89089	139	3632	341.2487	2019.8849	26.1295	2.455
220	oman	0.1874	0.2605	3	110	55907	64	588	89.3908	2021.3906	9.1875	1.3967
